time,open,high,low,close,Volume,K,D
-2322034200,4.32,4.32,4.32,4.32,0,45.79971440250824,45.5348868023886
-2319442200,4.04,4.04,4.04,4.04,0,31.33877979923324,39.75671616233056
-2314085400,4.01,4.01,4.01,4.01,0,16.717365949615296,31.28528671711895
-2311493400,4.1,4.1,4.1,4.1,0,10.951489274842983,19.669211674563865
-2306223000,4.22,4.22,4.22,4.22,0,21.497359080393124,16.388738101617136
-2303544600,4.22,4.22,4.22,4.22,0,33.032647926597065,21.827165427277723
-2300866200,4.18,4.18,4.18,4.18,0,37.16712113676257,30.565709381250922
-2298447000,4.19,4.19,4.19,4.19,0,35.95229848183284,35.38402251506415
-2295768600,4.06,4.06,4.06,4.06,0,28.746412374558474,33.95527733105129
-2290498200,4.27,4.27,4.27,4.27,0,46.98650436600702,37.22840507413278
-2287906200,4.46,4.46,4.46,4.46,0,68.50912083761621,48.08067919272724
-2282549400,4.98,4.98,4.98,4.98,0,96.02280076157001,70.50614198839774
-2279957400,4.82,4.82,4.82,4.82,0,94.33160266614534,86.28784142177717
-2277279000,4.65,4.65,4.65,4.65,0,83.171542962208,91.17531546330777
-2274687000,4.75,4.75,4.75,4.75,0,74.50454364256973,84.00256309030769
-2269330200,4.87,4.87,4.87,4.87,0,74.38565314066206,77.35391324847994
-2266911000,4.65,4.65,4.65,4.65,0,71.12801243014293,73.3394030711249
-2264232600,4.57,4.57,4.57,4.57,0,62.70896863143734,69.40754473408077
-2258962200,5.06,5.06,5.06,5.06,0,64.13663420345797,65.99120508834608
-2256370200,5.08,5.08,5.08,5.08,0,74.63391128502114,67.15983803997214
-2253691800,5.27,5.27,5.27,5.27,0,91.71995440336502,76.83016663061471
-2251013400,5.26,5.26,5.26,5.26,0,95.69089211163777,87.34825260000798
-2245743000,5.32,5.32,5.32,5.32,0,99.61131544453109,95.6740539865113
-2243151000,5.65,5.65,5.65,5.65,0,99.61131544453106,98.30450766689997
-2237794200,6.31,6.31,6.31,6.31,0,100,99.74087696302071
-2235375000,6.4,6.4,6.4,6.4,0,100,99.87043848151036
-2230104600,6.21,6.21,6.21,6.21,0,93.01493175797738,97.6716439193258
-2227426200,6.07,6.07,6.07,6.07,0,81.17469969046705,91.39654381614815
-2222155800,6.44,6.44,6.44,6.44,0,74.40558732037367,82.86507292293938
-2219477400,6.37,6.37,6.37,6.37,0,72.24597847474398,75.94208849519491
-2214207000,6.46,6.46,6.46,6.46,0,76.18757785567364,74.27971455026376
-2211615000,6.02,6.02,6.02,6.02,0,49.62335689243371,66.01897107428378
-2208936600,6.1,6.1,6.1,6.1,0,27.62174924743026,51.14422799851254
-2206258200,6.21,6.21,6.21,6.21,0,7.381133853371133,28.208746664411716
-2203839000,6.26,6.26,6.26,6.26,0,13.955566321396065,16.319483140732487
-2198568600,6.04,6.04,6.04,6.04,0,11.768517720718464,11.035072631828555
-2195890200,5.86,5.86,5.86,5.86,0,6.5744324680249315,10.766172170046488
-2190619800,5.94,5.94,5.94,5.94,0,2.0841902081470813,6.809046798963493
-2185349400,6.01,6.01,6.01,6.01,0,6.0087348654748,4.889119180548939
-2182671000,6.48,6.48,6.48,6.48,0,24.816686856780667,10.969870643467518
-2177400600,7.07,7.07,7.07,7.07,0,53.7446631384344,28.19002828689662
-2174722200,7.25,7.25,7.25,7.25,0,83.15345181444002,53.90493393655169
-2172303000,7.51,7.51,7.51,7.51,0,97.67883315646748,78.19231603644731
-2169624600,8.14,8.14,8.14,8.14,0,100,93.61076165696916
-2167032600,7.73,7.73,7.73,7.73,0,88.20270244698395,95.29384520115048
-2161762200,7.93,7.93,7.93,7.93,0,78.50618995428117,88.90296413375502
-2159083800,8.04,8.04,8.04,8.04,0,69.94565350473601,78.88484863533371
-2153813400,7.91,7.91,7.91,7.91,0,69.42497824124813,72.62560723342176
